09:44:36.124 [main] INFO  com.UKTalentHubJava.test_cases.selenium.selenium_test_scripts.step_definitions.BaseClass - hello
09:44:36.486 [main] INFO  com.UKTalentHubJava.test_cases.selenium.selenium_test_scripts.step_definitions.BaseClass - PASSED -- the user loads Qualitest official site
09:44:36.816 [main] INFO  com.UKTalentHubJava.test_cases.selenium.selenium_test_scripts.step_definitions.BaseClass - PASSED -- the page states "The World’s Leading AI-Led Quality Engineering Company | Qualitest"
09:44:37.103 [main] INFO  com.UKTalentHubJava.test_cases.selenium.selenium_test_scripts.step_definitions.BaseClass - PASSED -- the page url is "https://qualitestgroup.com/"
09:54:49.795 [main] INFO  com.UKTalentHubJava.test_cases.selenium.selenium_test_scripts.step_definitions.BaseClass - hello
09:54:50.204 [main] INFO  com.UKTalentHubJava.test_cases.selenium.selenium_test_scripts.step_definitions.BaseClass - PASSED -- the user loads Qualitest official site
09:54:50.467 [main] INFO  com.UKTalentHubJava.test_cases.selenium.selenium_test_scripts.step_definitions.BaseClass - PASSED -- the page states "The World’s Leading AI-Led Quality Engineering Company | Qualitest"
09:54:50.743 [main] INFO  com.UKTalentHubJava.test_cases.selenium.selenium_test_scripts.step_definitions.BaseClass - PASSED -- the page url is "https://qualitestgroup.com/"
09:56:04.554 [main] INFO  com.UKTalentHubJava.test_cases.selenium.selenium_test_scripts.step_definitions.BaseClass - hello
09:56:04.957 [main] INFO  com.UKTalentHubJava.test_cases.selenium.selenium_test_scripts.step_definitions.BaseClass - PASSED -- the user loads Qualitest official site
09:56:05.224 [main] INFO  com.UKTalentHubJava.test_cases.selenium.selenium_test_scripts.step_definitions.BaseClass - PASSED -- the page states "The World’s Leading AI-Led Quality Engineering Company | Qualitest"
09:56:05.542 [main] INFO  com.UKTalentHubJava.test_cases.selenium.selenium_test_scripts.step_definitions.BaseClass - PASSED -- the page url is "https://qualitestgroup.com/"
09:57:25.733 [main] INFO  - hello
09:57:26.138 [main] INFO  - PASSED -- the user loads Qualitest official site
09:57:26.400 [main] INFO  - PASSED -- the page states "The World’s Leading AI-Led Quality Engineering Company | Qualitest"
09:57:26.680 [main] INFO  - PASSED -- the page url is "https://qualitestgroup.com/"
09:57:58.216 [main] INFO  test_cases.selenium.selenium_test_scripts.step_definitions.BaseClass - hello
09:57:58.546 [main] INFO  test_cases.selenium.selenium_test_scripts.step_definitions.BaseClass - PASSED -- the user loads Qualitest official site
09:57:58.862 [main] INFO  test_cases.selenium.selenium_test_scripts.step_definitions.BaseClass - PASSED -- the page states "The World’s Leading AI-Led Quality Engineering Company | Qualitest"
09:57:59.139 [main] INFO  test_cases.selenium.selenium_test_scripts.step_definitions.BaseClass - PASSED -- the page url is "https://qualitestgroup.com/"
09:58:41.661 [main] INFO  test_cases.selenium.selenium_test_scripts.step_definitions.BaseClass - hello
09:58:41.986 [main] INFO  test_cases.selenium.selenium_test_scripts.step_definitions.BaseClass - PASSED -- the user loads Qualitest official site
09:58:42.368 [main] INFO  test_cases.selenium.selenium_test_scripts.step_definitions.BaseClass - PASSED -- the page states "The World’s Leading AI-Led Quality Engineering Company | Qualitest"
09:58:42.671 [main] INFO  test_cases.selenium.selenium_test_scripts.step_definitions.BaseClass - PASSED -- the page url is "https://qualitestgroup.com/"
09:59:07.742 [main] INFO  test_cases.selenium.selenium_test_scripts.step_definitions.BaseClass - hello
09:59:08.033 [main] INFO  test_cases.selenium.selenium_test_scripts.step_definitions.BaseClass - PASSED -- the user loads Qualitest official site
09:59:08.453 [main] INFO  test_cases.selenium.selenium_test_scripts.step_definitions.BaseClass - PASSED -- the page states "The World’s Leading AI-Led Quality Engineering Company | Qualitest"
09:59:08.753 [main] INFO  test_cases.selenium.selenium_test_scripts.step_definitions.BaseClass - PASSED -- the page url is "https://qualitestgroup.com/"
09:59:41.392 [main] INFO  com.UKTalentHubJava.test_cases.selenium.selenium_test_scripts.step_definitions.BaseClass - hello
09:59:41.736 [main] INFO  com.UKTalentHubJava.test_cases.selenium.selenium_test_scripts.step_definitions.BaseClass - PASSED -- the user loads Qualitest official site
09:59:42.042 [main] INFO  com.UKTalentHubJava.test_cases.selenium.selenium_test_scripts.step_definitions.BaseClass - PASSED -- the page states "The World’s Leading AI-Led Quality Engineering Company | Qualitest"
09:59:42.327 [main] INFO  com.UKTalentHubJava.test_cases.selenium.selenium_test_scripts.step_definitions.BaseClass - PASSED -- the page url is "https://qualitestgroup.com/"
10:00:16.332 [main] INFO  test_cases.selenium.selenium_test_scripts.step_definitions.BaseClass - hello
10:00:16.651 [main] INFO  test_cases.selenium.selenium_test_scripts.step_definitions.BaseClass - PASSED -- the user loads Qualitest official site
10:00:16.983 [main] INFO  test_cases.selenium.selenium_test_scripts.step_definitions.BaseClass - PASSED -- the page states "The World’s Leading AI-Led Quality Engineering Company | Qualitest"
10:00:17.256 [main] INFO  test_cases.selenium.selenium_test_scripts.step_definitions.BaseClass - PASSED -- the page url is "https://qualitestgroup.com/"
10:00:47.880 [main] INFO  step_definitions.BaseClass - hello
10:00:48.193 [main] INFO  step_definitions.BaseClass - PASSED -- the user loads Qualitest official site
10:00:48.503 [main] INFO  step_definitions.BaseClass - PASSED -- the page states "The World’s Leading AI-Led Quality Engineering Company | Qualitest"
10:00:48.787 [main] INFO  step_definitions.BaseClass - PASSED -- the page url is "https://qualitestgroup.com/"
10:01:26.845 [main] INFO  selenium_test_scripts.step_definitions.BaseClass - hello
10:01:27.182 [main] INFO  selenium_test_scripts.step_definitions.BaseClass - PASSED -- the user loads Qualitest official site
10:01:27.510 [main] INFO  selenium_test_scripts.step_definitions.BaseClass - PASSED -- the page states "The World’s Leading AI-Led Quality Engineering Company | Qualitest"
10:01:27.781 [main] INFO  selenium_test_scripts.step_definitions.BaseClass - PASSED -- the page url is "https://qualitestgroup.com/"
10:31:56.611 [main] INFO  selenium_test_scripts.step_definitions.BaseClass - hello
10:31:56.914 [main] INFO  selenium_test_scripts.step_definitions.BaseClass - PASSED -- the user loads Qualitest official site
